trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1459,False,"{'a': 0.001, 'e': 0.23270121206157107}",20,0,8.228412544465833,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1460,False,"{'a': 0.001, 'e': 0.23246862716134165}",25,15,3.9159219376561842,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1461,False,"{'a': 0.001, 'e': 0.23223627472975883}",25,5,-18.83241358347735,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
1462,False,"{'a': 0.001, 'e': 0.23200415453447004}",20,3,29.69472014103138,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1463,False,"{'a': 0.001, 'e': 0.23177226634335515}",20,6,21.027854097910833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1464,False,"{'a': 0.001, 'e': 0.2315406099245259}",25,15,9.776976578772667,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1465,False,"{'a': 0.001, 'e': 0.23130918504632592}",25,14,1.2096669150999975,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1466,False,"{'a': 0.001, 'e': 0.23107799147733019}",20,11,-27.033529981081276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1467,False,"{'a': 0.001, 'e': 0.23084702898634524}",25,15,-22.341450827525556,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1468,False,"{'a': 0.001, 'e': 0.2306162973424085}",20,7,20.906061894040054,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1469,False,"{'a': 0.001, 'e': 0.23038579631478834}",20,13,-15.340420627354256,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
1470,False,"{'a': 0.001, 'e': 0.23015552567298364}",30,15,25.624818585317957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1471,False,"{'a': 0.001, 'e': 0.22992548518672384}",20,1,-79.430709390566,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
1472,False,"{'a': 0.001, 'e': 0.22969567462596835}",30,12,17.805362234387097,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1473,False,"{'a': 0.001, 'e': 0.22946609376090668}",30,13,-0.8594641656988835,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1474,False,"{'a': 0.001, 'e': 0.22923674236195785}",20,9,15.250593699280525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1475,False,"{'a': 0.001, 'e': 0.2290076201997705}",25,19,10.403780656983773,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1476,False,"{'a': 0.001, 'e': 0.22877872704522242}",20,15,9.090061550599694,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1477,False,"{'a': 0.001, 'e': 0.2285500626694205}",30,12,5.704479969158719,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
1478,False,"{'a': 0.001, 'e': 0.22832162684370022}",30,8,8.463007636988511,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
1479,False,"{'a': 0.001, 'e': 0.22809341933962587}",20,8,24.43432903154353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1480,False,"{'a': 0.001, 'e': 0.22786543992898983}",25,11,-8.403301882585108,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
